date,job_title,company,cities,minimum,new_max
11-20,Senior Data Operation Analyst,美国道富,杭州,144000,240000
11-20,Data Analyst,成都天府软件园有限公司,成都,0,0
11-20,"Analyst - Data Analytics, Research",哲奔投资管理咨询（上海）有限公司...,上海,96000,120000
11-20,Business Data Analyst,罗克韦尔自动化制造（上海）有限公...,上海,0,0
11-20,Big Data Analyst,上海才历网络有限公司,上海,200000,300000
11-20,Data Analyst,北京特艺企业管理有限公司,北京,120000,240000
11-20,Data Analyst/大数据分析师_AE,博世汽车部件（苏州）有限公司,苏州,0,0
11-20,(SISW)Data Analyst/数据分析 contractor,西门子工业软件(上海)有限公司(SI...,北京,0,0
11-20,Siemens SOP IT Data Analyst - Beijing（185712）,西门子（中国）有限公司Siemens L...,北京,0,0
11-20,数据分析师 Data Analyst,雅智捷（上海）商贸有限公司,上海,100000,150000
11-20,"Analyst, Global Data & Information Management",仲量联行,北京,120000,180000
11-20,(实习职位）Business Data Analyst/业务数据分析,四海电子（昆山）有限公司,异地招聘,24000,36000
11-20,data analyst intern,施耐德电气中国研发中心 China R&...,上海,0,0
11-20,Data Cleansing Data Analyst,丹佛斯（天津）有限公司 Danfoss ...,天津,200000,250000
11-20,Data Cleansing Data Analyst,丹佛斯自动控制管理（上海）有限公...,上海,240000,300000
11-20,Data Analyst,耐克商业（中国）有限公司,济南,96000,120000
11-20,Data Report Analyst-数据报表分析师,苏州星智达管理咨询有限公司,苏州,54000,72000
11-20,Asia Data Analyst (Pricing),爱美达（深圳）热能系统有限公司,深圳,240000,360000
11-20,Data Management Analyst/ 医药数据管理专员,艾昆纬企业管理咨询（上海）有限公...,大连,72000,96000
11-20,Data Analyst数据分析师,易唯思商务咨询（上海）有限公司,上海,0,0
11-20,Data  Analyst,北京埃顿酒店服务有限公司上海第二...,沈阳,96000,192000
11-20,Data Analyst 数据分析师(粤语),广州尚宸企业管理顾问有限公司,广州,240000,300000
11-20,Data Analyst,恒伟（亚洲）有限公司杭州代表处,杭州,60000,96000
11-20,Data Analyst数据分析师,QIMA(formerly AsiaInspection),深圳,72000,120000
11-20,Manager of Data Scientist Analyst,美国K2软件（中国）,上海,240000,420000
11-20,Marketing Data Analyst,是德科技（中国）有限公司Keysigh...,北京,120000,240000
11-20,数据分析师 Data Account Executive/Data Analyst,上海埃特公关咨询有限公司,上海,72000,96000
11-20,GPM Data Analyst,丹马士环球物流（上海）有限公司,深圳,60000,84000
11-20,高级数据分析师Sr. Data Analyst,安客诚信息服务（上海）有限公司,上海,180000,240000
11-20,数据分析员（Data Analyst）,大连腾微传媒有限公司,大连,48000,60000
11-20,资深数据分析专家（Data Analyst）,聚思鸿信息技术服务Concentrix,西安,180000,240000
11-20,Data Analyst,上海福迈迪工程技术有限公司,沈阳,0,0
11-20,Sales/Data Analyst 销售数据分析,益辉集团,北京,120000,180000
11-20,Senior Data Analyst ID47966,Booking.com缤客,上海,0,0
11-20,国际品牌部数据分析师Data Analyst(J11260),浙江爱仕达电器股份有限公司,上海,120000,240000
11-20,Database analyst and data administrator,广州赫尔维希亚移民留学咨询有限公...,异地招聘,240000,480000
11-20,UFS data analyst specialist,联合利华中国有限公司上海分公司,上海,96000,120000
11-20,Product Sales Data Analyst 数据分析专员  3335930,GE医疗集团,上海,0,0
11-20,Data Standard Analyst,中国国际金融股份有限公司,北京,120000,180000
11-20,数据分析师-Data analyst,绫致时装（天津）有限公司,北京,96000,120000
11-20,Data Analyst,戴尔（中国）有限公司,上海,0,0
11-20,Paypal RnP Quality Analyst（data scientist，dat,亿贝软件工程（上海）有限公司,上海,220000,340000
11-20,Data Analyst / Statistician (Contractor),欧莱雅（中国）有限公司,上海,0,0
11-20,(Sr) Channel Data Excellence Analyst/(资深) 渠道数据优化分析专员,罗氏诊断产品（上海）有限公司,上海,0,0
11-20,数据分析师 Data Analyst,阿科玛（中国）投资有限公司广州分...,广州,54000,72000
11-19,Senior Data Governance Analyst,花旗银行（中国）有限公司,上海,0,0
11-19,Data analyst 数据分析师,华北利星行机械（北京）有限公司,北京,54000,72000
11-19,Excel数据分析员 Excel Data Analyst,家乐福上海 Shanghai,上海,0,0
11-19,Data Analyst (12 months),阿斯利康药业（中国）有限公司,无锡,0,0
11-19,Fund Data Research Analyst/基金数据分析员,晨星资讯（深圳）有限公司,深圳,60000,84000
11-19,Senior Data Analyst,Veeva Systems Inc,大连,54000,72000
11-19,Process management Data Analyst 数据分析,上海利唐信息科技有限公司,上海,84000,168000
11-19,Asia Data Analyst (Pricing),宝德塑胶金属零部件（深圳）有限公...,深圳,240000,360000
11-19,Test Technician（Data Analyst）,奥托立夫（上海）汽车安全系统研发...,上海,54000,72000
11-18,International Business Data Analyst,德力西电气有限公司,上海,84000,156000
11-18,数据分析师 Data Analyst,成都摩奇创造信息技术有限公司,成都,96000,180000
11-18,Data Analyst,瑞表企业管理（上海）有限公司,上海,120000,180000
11-18,校园招聘Statistical  / Data  / Marketing Analyst,美库尔商务信息咨询有限公司,南京,72000,96000
11-18,资深数据分析师 Senior Data Analyst,上海育碧电脑软件有限公司,上海,0,0
11-18,Data Analyst (Contractor),AstraZeneca Global Commercial O...,上海,72000,96000
11-18,Data Business Analyst,英诺瑞新科技发展（大连）有限公司...,大连,120000,180000
11-18,Senior Data Analyst 高级数据分析师,上海唯都市场营销策划股份有限公司...,上海,120000,180000
11-18,Business Data Analyst,安波福中央电气（上海）有限公司,上海,0,0
11-16,数据分析师 / Data Analyst,克里赛尔易莱纳信息技术（杭州)有...,杭州,100000,150000
11-16,数据分析员(贷后资产保全) Data Analyst (Collection),东风日产汽车金融有限公司,上海,0,0
11-15,Senior IT Data Analyst 高级数据分析师,全球国际货运代理（中国）有限公司...,上海,96000,144000
11-15,Q&S Data Analyst (006263),广州和睦家医院有限公司,异地招聘,24000,48000
11-15,Data Analyst Manager,聚思鸿信息技术服务（大连）有限公...,大连,180000,300000
11-15,Data Analyst (Social Media),绿色和平（北京）环境咨询有限公司...,北京,120000,180000
11-15,Sales/Data Analyst 销售数据分析,北京世邦魏理仕物业管理服务有限公...,北京,120000,156000
11-15,JD00510000012 Data Analyst 数据分析师,颐亿信息技术（上海）有限公司,上海,108000,240000
11-14,Data Analyst（供应链方向）,北京外企德科人力资源服务上海有限...,上海,144000,216000
11-14,数据分析师 data analyst 北京 上海,久远谦长（上海）企业管理咨询有限...,上海,120000,300000
11-14,BI Data & Reporting Analyst,不凡帝范梅勒糖果（中国）有限公司...,上海,0,0
11-13,Senior Data Analyst - Digital Factory - Risk Advisory - CQ GDC,德勤华永会计师事务所（特殊普通合...,重庆,0,0
11-12,Sr. Forecast & Data Analyst-102254BR,赛默飞世尔科技（中国）有限公司,北京,0,0
11-11,Data Analytical Analyst,上海药明康德新药开发有限公司,上海,240000,300000
11-11,salesforce admin & data analyst,卓缤科技设备（昆山）有限公司,上海,96000,180000
11-11,Data analyst,仁卅信息科技（上海）有限公司,上海,72000,96000
11-11,Data Analyst-数据分析师,大连凯沃企业管理咨询有限公司,大连,120000,180000
11-09,LRMarine - Data Analyst for North Asia Service Del,劳氏船级社（中国）有限公司,上海,120000,180000
11-09,Master Data Steward/Analyst,AkzoNobel 阿克苏诺贝尔 - Indust...,异地招聘,0,0
11-08,Big data business analyst,源讯信息技术（中国）有限公司,北京,180000,240000
11-08,Data Analyst,高知特信息技术（上海）有限公司 ...,上海,230000,330000
11-07,Data Acquisition Analyst_outsource(J13273),上海康德弘翼医学临床研究有限公司...,上海,72000,96000
11-05,"Data Analyst, APAC",隐适美中国 Invisalign,上海,0,0
11-04,Data Analyst,默克化工技术（上海）有限公司,上海,200000,350000
